subject,person1,person2
患者投票比,100.0,0.0
在线服务患者比,30.88396578196973,69.11603421803026
医师推荐热度比,50.70422535211267,49.29577464788733
总文章比,55.55555555555556,44.44444444444444
问诊后报到患者比,64.50617283950618,35.49382716049383
总患者比,30.88396578196973,69.11603421803026
